product_key,product_name,product_category,product_subcategory,product_container,product_base_margin
609,Laminate Occasional Tables,Furniture,Tables,Large Box,0.68
610,Round Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.38
611,DIXON Oriole Pencils,Office Supplies,Pens & Art Supplies,Wrap Bag,0.59
612,Avery Durable Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.36
613,"Super Bands, 12/Pack",Office Supplies,Rubber Bands,Wrap Bag,0.82
614,iDEN i95,Technology,Telephones and Communication,Small Box,0.59
615,"Memorex 4.7GB DVD+R, 3/Pack",Technology,Computer Peripherals,Small Pack,0.42
616,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Furniture,Office Furnishings,Small Pack,0.44
617,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Office Furnishings,Small Box,0.44
618,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,Furniture,Office Furnishings,Small Box,0.43
619,"Seth Thomas 12"" Clock w/ Goldtone Case",Furniture,Office Furnishings,Small Box,0.51
620,Bevis Round Conference Room Tables and Bases,Furniture,Tables,Jumbo Box,0.71
621,#10 Self-Seal White Envelopes,Office Supplies,Envelopes,Small Box,0.36
622,"Advantus Push Pins, Aluminum Head",Office Supplies,Rubber Bands,Wrap Bag,0.54
623,"Staples Vinyl Coated Paper Clips, 800/Box",Office Supplies,Rubber Bands,Wrap Bag,0.4
624,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Office Supplies,Storage & Organization,Small Box,0.58
625,7160,Technology,Telephones and Communication,Small Box,0.59
626,StarTAC 6500,Technology,Telephones and Communication,Small Box,0.59
627,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Furniture,Office Furnishings,Medium Box,0.75
628,SC7868i,Technology,Telephones and Communication,Small Box,0.55
629,HP Office Recycled Paper (20Lb. and 87 Bright),Office Supplies,Paper,Small Box,0.36
630,Logitech Internet Navigator Keyboard,Technology,Computer Peripherals,Small Box,0.8
631,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,Jumbo Box,0.69
632,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,Small Box,0.38
633,Keytronic 105-Key Spanish Keyboard,Technology,Computer Peripherals,Small Box,0.77
634,Motorola SB4200 Cable Modem,Technology,Computer Peripherals,Small Box,0.48
635,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,Small Box,0.4
636,Strathmore Photo Mount Cards,Office Supplies,Paper,Small Box,0.39
637,"GBC White Gloss Covers, Plain Front",Office Supplies,Binders and Binder Accessories,Small Box,0.38
638,"Eureka Hand Vacuum, Bagless",Office Supplies,Appliances,Small Box,0.57
639,Airmail Envelopes,Office Supplies,Envelopes,Small Box,0.38
640,Keytronic French Keyboard,Technology,Computer Peripherals,Small Box,0.65
641,Newell 314,Office Supplies,Pens & Art Supplies,Wrap Bag,0.6
642,Xerox 1919,Office Supplies,Paper,Small Box,0.36
643,Accessory27,Technology,Telephones and Communication,Small Box,0.85
644,Berol Giant Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.56
645,Xerox 227,Office Supplies,Paper,Small Box,0.37
646,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Ó x 11Ó",Office Supplies,Paper,Wrap Bag,0.38
647,Xerox 1962,Office Supplies,Paper,Small Box,0.4
648,636,Technology,Telephones and Communication,Small Box,0.57
649,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.6
650,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Binders and Binder Accessories,Small Box,0.37
651,Avery White Multi-Purpose Labels,Office Supplies,Labels,Small Box,0.39
652,Accessory25,Technology,Telephones and Communication,Wrap Bag,0.57
653,Xerox 199,Office Supplies,Paper,Small Box,0.4
654,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,Jumbo Box,0.67
655,Hon Comfortask Task/Swivel Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.69
656,Xerox 1938,Office Supplies,Paper,Small Box,0.37
657,Rediform S.O.S. Phone Message Books,Office Supplies,Paper,Wrap Bag,0.36
658,StarTAC 3000,Technology,Telephones and Communication,Small Box,0.59
659,Adesso Programmable 142-Key Keyboard,Technology,Computer Peripherals,Small Box,0.79
660,Ampad #10 Peel & Seel Holiday Envelopes,Office Supplies,Envelopes,Small Box,0.37
661,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Technology,Computer Peripherals,Small Box,0.79
662,5185,Technology,Telephones and Communication,Small Box,0.58
663,Maxell DVD-RAM Discs,Technology,Computer Peripherals,Small Pack,0.42
664,StarTAC ST7868,Technology,Telephones and Communication,Small Box,0.55
665,Novimex Turbo Task Chair,Furniture,Chairs & Chairmats,Jumbo Drum,0.73
666,Panasonic KX-P3626 Dot Matrix Printer,Technology,Office Machines,Jumbo Box,0.59
667,Belkin F9M820V08 8 Outlet Surge,Office Supplies,Appliances,Small Box,0.56
668,"Global Leather Task Chair, Black",Furniture,Chairs & Chairmats,Jumbo Drum,0.66
669,GBC VeloBinder Strips,Office Supplies,Binders and Binder Accessories,Small Box,0.35
670,MicroTAC 650,Technology,Telephones and Communication,Small Box,0.58
671,Hand-Finished Solid Wood Document Frame,Furniture,Office Furnishings,Small Box,0.55
672,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.58
673,Xerox 210,Office Supplies,Paper,Small Box,0.37
674,Xerox 1923,Office Supplies,Paper,Small Box,0.37
675,Staples Metal Binder Clips,Office Supplies,Rubber Bands,Wrap Bag,0.39
676,Hewlett-Packard 4.7GB DVD+R Discs,Technology,Computer Peripherals,Small Pack,0.49
677,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Office Supplies,Paper,Wrap Bag,0.4
678,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
679,I888 World Phone,Technology,Telephones and Communication,Small Box,0.6
680,Xerox 1997,Office Supplies,Paper,Small Box,0.37
681,GBC Therma-A-Bind 250T Electric Binding System,Office Supplies,Binders and Binder Accessories,Small Box,0.37
682,Avery Printable Repositionable Plastic Tabs,Office Supplies,Binders and Binder Accessories,Small Box,0.38
683,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.35
684,Xerox 204,Office Supplies,Paper,Small Box,0.37
685,Newell 35,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
686,Staples Brown Kraft Recycled Clasp Envelopes,Office Supplies,Envelopes,Small Box,0.35
687,Xerox 1947,Office Supplies,Paper,Small Box,0.4
688,Xerox 1950,Office Supplies,Paper,Small Box,0.36
689,GBC ProClick 150 Presentation Binding System,Office Supplies,Binders and Binder Accessories,Small Box,0.38
690,Letter Size Cart,Office Supplies,Storage & Organization,Small Box,0.56
691,Kensington 6 Outlet Guardian Standard Surge Protector,Office Supplies,Appliances,Small Box,0.58
692,"Imation 3.5"" Diskettes, IBM Format, DS/HD, 10/Box, Neon",Technology,Computer Peripherals,Small Pack,0.64
693,"Career Cubicle Clock, 8 1/4"", Black",Furniture,Office Furnishings,Small Box,0.47
694,V8162,Technology,Telephones and Communication,Small Box,0.56
695,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders and Binder Accessories,Small Box,0.35
696,Okidata ML520 Series Dot Matrix Printers,Technology,Office Machines,Jumbo Drum,0.56
697,"TOPS Voice Message Log Book, Flash Format",Office Supplies,Paper,Wrap Bag,0.36
698,Avery 48,Office Supplies,Labels,Small Box,0.39
699,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Office Furnishings,Medium Box,0.74
700,6340,Technology,Telephones and Communication,Small Box,0.58
701,Microsoft Natural Keyboard Elite,Technology,Computer Peripherals,Small Box,0.7
702,Accessory41,Technology,Telephones and Communication,Wrap Bag,0.38
703,i500plus,Technology,Telephones and Communication,Small Box,0.58
704,Hewlett-Packard Deskjet 3820 Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.37
705,Newell 346,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
706,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.55
707,3M Polarizing Light Filter Sleeves,Furniture,Office Furnishings,Small Pack,0.39
708,"Master Caster Door Stop, Brown",Furniture,Office Furnishings,Wrap Bag,0.51
709,6162i,Technology,Telephones and Communication,Small Box,0.55
710,"Fellowes Mobile Numeric Keypad, Graphite",Technology,Computer Peripherals,Small Box,0.64
711,iDENi80s,Technology,Telephones and Communication,Small Box,0.59
712,5190,Technology,Telephones and Communication,Small Box,0.59
713,M70,Technology,Telephones and Communication,Small Box,0.59
714,Acco 6 Outlet Guardian Premium Surge Suppressor,Office Supplies,Appliances,Small Box,0.58
715,G.E. Halogen Desk Lamp Bulbs,Furniture,Office Furnishings,Small Pack,0.37
716,Filing/Storage Totes and Swivel Casters,Office Supplies,Storage & Organization,Small Box,0.6
717,Ultra Door Pull Handle,Furniture,Office Furnishings,Small Pack,0.52
718,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,Small Box,0.4
719,Hayes Optima 56K V.90 Internal Voice Modem,Technology,Computer Peripherals,Small Box,0.51
720,Xerox 1979,Office Supplies,Paper,Small Box,0.4
721,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs & Chairmats,Jumbo Drum,0.77
722,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,Office Furnishings,Small Pack,0.45
723,Xerox 1903,Office Supplies,Paper,Small Box,0.36
724,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Large Box,0.79
725,Staples Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,Small Box,0.38
726,Bevis Rectangular Conference Tables,Furniture,Tables,Jumbo Box,0.69
727,"Master Caster Door Stop, Gray",Furniture,Office Furnishings,Wrap Bag,0.51
728,Xerox 1937,Office Supplies,Paper,Small Box,0.37
729,Xerox 1986,Office Supplies,Paper,Small Box,0.37
730,Microsoft Multimedia Keyboard,Technology,Computer Peripherals,Small Box,0.74
731,Xerox 1894,Office Supplies,Paper,Small Box,0.37
732,BASF Silver 74 Minute CD-R,Technology,Computer Peripherals,Small Pack,0.51
733,Accessory32,Technology,Telephones and Communication,Small Pack,0.35
734,Westinghouse Clip-On Gooseneck Lamps,Furniture,Office Furnishings,Large Box,0.59
735,Hewlett-Packard 2600DN Business Color Inkjet Printer,Technology,Office Machines,Jumbo Box,0.39
736,Staples Plastic Wall Frames,Furniture,Office Furnishings,Small Box,0.41
737,Vinyl Sectional Post Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.35
738,i2000,Technology,Telephones and Communication,Small Box,0.6
739,Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies,Envelopes,Small Box,0.38
740,Hon Non-Folding Utility Tables,Furniture,Tables,Jumbo Drum,0.55
741,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs & Chairmats,Jumbo Drum,0.69
742,Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad,Technology,Computer Peripherals,Small Box,0.62
743,Avery 496,Office Supplies,Labels,Small Box,0.37
744,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Furniture,Office Furnishings,Small Pack,0.41
745,Tuff Stuff Recycled Round Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.36
746,Avery 514,Office Supplies,Labels,Small Box,0.36
747,V8160,Technology,Telephones and Communication,Small Box,0.56
748,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,Jumbo Box,0.66
749,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,Technology,Office Machines,Jumbo Box,0.36
750,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Office Supplies,Storage & Organization,Small Box,0.59
751,Xerox 1949,Office Supplies,Paper,Small Box,0.36
752,Xerox 1907,Office Supplies,Paper,Small Box,0.38
753,Imation DVD-RAM discs,Technology,Computer Peripherals,Small Pack,0.43
754,Xerox 1974,Office Supplies,Paper,Small Box,0.36
755,Panasonic KP-150 Electric Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.59
756,Xerox 1896,Office Supplies,Paper,Small Box,0.4
757,8890,Technology,Telephones and Communication,Small Box,0.58
758,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage & Organization,Large Box,0.85
759,Novimex Fabric Task Chair,Furniture,Chairs & Chairmats,Jumbo Drum,0.7
760,"Eldon Image Series Desk Accessories, Burgundy",Furniture,Office Furnishings,Small Box,0.49
761,Staples File Caddy,Office Supplies,Storage & Organization,Small Box,0.57
762,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,Jumbo Box,0.76
763,Bush Advantage Collection Round Conference Table,Furniture,Tables,Jumbo Box,0.64
764,Avery Hole Reinforcements,Office Supplies,Binders and Binder Accessories,Small Box,0.36
765,TI 30X Scientific Calculator,Technology,Office Machines,Medium Box,0.36
766,Avery Non-Stick Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.39
767,Belkin Premiere Surge Master II 8-outlet surge protector,Office Supplies,Appliances,Small Box,0.56
768,"Hon Metal Bookcases, Putty",Furniture,Bookcases,Jumbo Box,0.56
769,Newell 309,Office Supplies,Pens & Art Supplies,Wrap Bag,0.55
770,Wilson Jones ÒSnapÓ Scratch Pad Binder Tool for Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.4
771,Flat Face Poster Frame,Furniture,Office Furnishings,Wrap Bag,0.43
772,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Office Supplies,Paper,Small Box,0.37
773,Xerox 193,Office Supplies,Paper,Small Box,0.36
774,Nu-Dell Executive Frame,Furniture,Office Furnishings,Small Pack,0.48
775,Xerox 1973,Office Supplies,Paper,Small Box,0.39
776,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers and Fax,Large Box,0.37
777,Xerox 1927,Office Supplies,Paper,Small Box,0.4
778,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,Bookcases,Jumbo Box,0.62
779,3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies,Appliances,Jumbo Drum,0.57
780,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Technology,Office Machines,Jumbo Drum,0.38
781,T65,Technology,Telephones and Communication,Small Box,0.56
782,Gyration RF Keyboard,Technology,Computer Peripherals,Small Box,0.49
783,StarTAC 8000,Technology,Telephones and Communication,Small Box,0.6
784,Xerox 1910,Office Supplies,Paper,Small Box,0.37
785,Newell 320,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58
786,Howard Miller Distant Time Traveler Alarm Clock,Furniture,Office Furnishings,Small Box,0.44
787,"Carina Mini System Audio Rack, Model AR050B",Office Supplies,Storage & Organization,Large Box,0.82
788,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",Office Supplies,Appliances,Small Box,0.59
789,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage & Organization,Small Box,0.57
790,Newell 307,Office Supplies,Pens & Art Supplies,Wrap Bag,0.57
791,Tensor Computer Mounted Lamp,Furniture,Office Furnishings,Large Box,0.58
792,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,Technology,Office Machines,Jumbo Box,0.4
793,Holmes Odor Grabber,Office Supplies,Appliances,Medium Box,0.52
794,Avery Hi-Liter Smear-Safe Highlighters,Office Supplies,Pens & Art Supplies,Wrap Bag,0.49
795,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Office Supplies,Paper,Wrap Bag,0.36
796,"Iris 3-Drawer Stacking Bin, Black",Office Supplies,Storage & Organization,Small Box,0.83
797,Artistic Insta-Plaque,Furniture,Office Furnishings,Small Pack,0.46
798,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage & Organization,Large Box,0.83
799,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Technology,Computer Peripherals,Small Pack,0.49
800,Peel-Off China Markers,Office Supplies,Pens & Art Supplies,Wrap Bag,0.43
801,Model L Table or Wall-Mount Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Box,0.57
802,Okidata ML320 Series Turbo Dot Matrix Printers,Technology,Office Machines,Jumbo Box,0.56
803,Deflect-O Glasstique Clear Desk Accessories,Furniture,Office Furnishings,Wrap Bag,0.52
804,Acme Box Cutter Scissors,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.59
805,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,Pens & Art Supplies,Small Pack,0.58
806,Multicolor Computer Printout Paper,Office Supplies,Paper,Small Box,0.37
807,DAX Wood Document Frame.,Furniture,Office Furnishings,Wrap Bag,0.54
808,Newell 340,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
809,Space Solutions Commercial Steel Shelving,Office Supplies,Storage & Organization,Large Box,0.8
810,"Adams Phone Message Book, 200 Message Capacity, 8 1/16Ó x 11Ó",Office Supplies,Paper,Wrap Bag,0.39
811,"DS/HD IBM Formatted Diskettes, 10/Pack - Staples",Technology,Computer Peripherals,Small Pack,0.64
812,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Office Supplies,Paper,Small Box,0.37
813,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage & Organization,Small Box,0.57
814,"Maxell Pro 80 Minute CD-R, 10/Pack",Technology,Computer Peripherals,Small Pack,0.45
815,StarTAC Analog,Technology,Telephones and Communication,Small Box,0.6
816,232,Technology,Telephones and Communication,Small Box,0.55
817,Colored Push Pins,Office Supplies,Rubber Bands,Wrap Bag,0.49
818,KI Conference Tables,Furniture,Tables,Jumbo Box,0.69
819,Newell 321,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
820,Newell 351,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
821,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Rubber Bands,Wrap Bag,0.36
822,Avanti 1.7 Cu. Ft. Refrigerator,Office Supplies,Appliances,Jumbo Drum,0.57
823,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",Furniture,Office Furnishings,Small Pack,0.47
824,Gyration Ultra Cordless Optical Suite,Technology,Computer Peripherals,Small Box,0.46
825,DPC 650 Piper,Technology,Telephones and Communication,Small Box,0.58
826,Staples #10 Colored Envelopes,Office Supplies,Envelopes,Small Box,0.38
827,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Technology,Computer Peripherals,Small Pack,0.69
828,Accessory35,Technology,Telephones and Communication,Small Box,0.55
829,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders and Binder Accessories,Small Box,0.37
830,"IBM Active Response Keyboard, Black",Technology,Computer Peripherals,Small Box,0.67
831,Okidata ML184 Turbo Dot Matrix Printers,Technology,Office Machines,Jumbo Drum,0.56
832,Riverside Furniture Stanwyck Manor Table Series,Furniture,Tables,Jumbo Box,0.78
833,"Companion Letter/Legal File, Black",Office Supplies,Storage & Organization,Small Box,0.57
834,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders and Binder Accessories,Small Box,0.4
835,Epson C82 Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.36
836,Xerox 212,Office Supplies,Paper,Small Box,0.37
837,Binding Machine Supplies,Office Supplies,Binders and Binder Accessories,Small Box,0.37
838,BPI Conference Tables,Furniture,Tables,Jumbo Box,0.71
839,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,Jumbo Box,0.6
840,"DAX Cubicle Frames, 8-1/2 x 11",Furniture,Office Furnishings,Small Pack,0.49
841,Avery Durable Slant Ring Binders With Label Holder,Office Supplies,Binders and Binder Accessories,Small Box,0.37
842,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
843,Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders and Binder Accessories,Small Box,0.39
844,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Office Supplies,Paper,Small Box,0.38
845,Deflect-o Glass Clear Studded Chair Mats,Furniture,Office Furnishings,Medium Box,0.63
846,"Brites Rubber Bands, 1 1/2 oz. Box",Office Supplies,Rubber Bands,Wrap Bag,0.83
847,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",Technology,Computer Peripherals,Small Pack,0.43
848,Avery Round Ring Poly Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.36
849,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,Wrap Bag,0.37
850,Targus USB Numeric Keypad,Technology,Computer Peripherals,Small Box,0.74
851,Micro Innovations Media Access Pro Keyboard,Technology,Computer Peripherals,Small Box,0.76
852,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Office Furnishings,Small Box,0.44
853,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",Office Supplies,Binders and Binder Accessories,Small Box,0.38
854,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Office Supplies,Envelopes,Small Box,0.4
855,Staples 4 Outlet Surge Protector,Office Supplies,Appliances,Small Box,0.58
856,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Furniture,Office Furnishings,Large Box,0.73
857,Prang Colored Pencils,Office Supplies,Pens & Art Supplies,Wrap Bag,0.4
858,6120,Technology,Telephones and Communication,Small Box,0.58
859,Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies,Appliances,Small Box,0.57
860,Polycom VoiceStation 100,Technology,Office Machines,Medium Box,0.39
861,Bretford CR8500 Series Meeting Room Furniture,Furniture,Tables,Jumbo Box,0.71
862,Boston 1799 Powerhouse Electric Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.57
863,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,Small Box,0.55
864,Eldon Expressions Mahogany Wood Desk Collection,Furniture,Office Furnishings,Small Box,0.6
865,"Sony MFD2HD Formatted Diskettes, 10/Pack",Technology,Computer Peripherals,Small Pack,0.71
866,Hoover Upright Vacuum With Dirt Cup,Office Supplies,Appliances,Small Box,0.56
867,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,Pens & Art Supplies,Wrap Bag,0.38
868,GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders and Binder Accessories,Small Box,0.38
869,Boston 16801 Nautilus Battery Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.59
870,Iceberg Mobile Mega Data/Printer Cart ,Office Supplies,Storage & Organization,Small Box,0.59
871,Chromcraft Rectangular Conference Tables,Furniture,Tables,Jumbo Box,0.61
872,Security-Tint Envelopes,Office Supplies,Envelopes,Small Box,0.36
873,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders and Binder Accessories,Small Box,0.35
874,Fellowes EZ Multi-Media Keyboard,Technology,Computer Peripherals,Small Box,0.76
875,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Office Supplies,Binders and Binder Accessories,Small Box,0.36
876,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Office Supplies,Appliances,Medium Box,0.42
877,Xerox 1922,Office Supplies,Paper,Small Box,0.36
878,Avery 504,Office Supplies,Labels,Small Box,0.36
879,Talkabout T8097,Technology,Telephones and Communication,Small Box,0.58
880,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders and Binder Accessories,Small Box,0.4
881,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes,Small Box,0.4
882,"3.5"" IBM Formatted Diskettes, DS/HD",Technology,Computer Peripherals,Small Pack,0.66
883,Xerox 1934,Office Supplies,Paper,Small Box,0.36
884,"""While you Were Out"" Message Book, One Form per Page",Office Supplies,Paper,Wrap Bag,0.35
885,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Jumbo Box,0.56
886,GBC Instant Index System for Binding Systems,Office Supplies,Binders and Binder Accessories,Small Box,0.35
887,Letter or Legal Size Expandable Poly String Tie Envelopes,Office Supplies,Envelopes,Small Box,0.36
888,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances,Jumbo Drum,0.57
889,Park Ridge Embossed Executive Business Envelopes,Office Supplies,Envelopes,Small Box,0.38
890,Logitech Cordless Access Keyboard,Technology,Computer Peripherals,Small Box,0.51
891,14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies,Paper,Small Box,0.37
892,6000,Technology,Telephones and Communication,Small Box,0.55
893,5180,Technology,Telephones and Communication,Small Box,0.56
894,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases,Jumbo Box,0.75
895,Newell 333,Office Supplies,Pens & Art Supplies,Wrap Bag,0.59
896,Xerox 23,Office Supplies,Paper,Small Box,0.37
897,Anderson Hickey Conga Table Tops & Accessories,Furniture,Tables,Jumbo Box,0.76
898,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,Wrap Bag,0.36
899,Hon Pagoda Stacking Chairs,Furniture,Chairs & Chairmats,Large Box,0.55
900,Newell 338,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58
901,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
902,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage & Organization,Small Box,0.55
903,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Furniture,Office Furnishings,Small Box,0.57
904,Blackstonian Pencils,Office Supplies,Pens & Art Supplies,Wrap Bag,0.57
905,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Furniture,Tables,Jumbo Box,0.68
906,Harmony HEPA Quiet Air Purifiers,Office Supplies,Appliances,Medium Box,0.5
907,GBC Standard Plastic Binding Systems' Combs,Office Supplies,Binders and Binder Accessories,Small Box,0.4
908,Panasonic KX-P1131 Dot Matrix Printer,Technology,Office Machines,Jumbo Drum,0.58
909,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Office Supplies,Paper,Wrap Bag,0.35
910,EcoTones Memo Sheets,Office Supplies,Paper,Wrap Bag,0.37
911,Xerox 1984,Office Supplies,Paper,Small Box,0.36
912,3395,Technology,Telephones and Communication,Small Box,0.58
913,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,Technology,Office Machines,Medium Box,0.37
914,Fluorescent Highlighters by Dixon,Office Supplies,Pens & Art Supplies,Wrap Bag,0.51
915,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Office Furnishings,Medium Box,0.64
916,Accessory23,Technology,Telephones and Communication,Small Pack,0.36
917,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Office Supplies,Labels,Small Box,0.39
918,SAFCO Boltless Steel Shelving,Office Supplies,Storage & Organization,Large Box,0.39
919,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Technology,Computer Peripherals,Small Pack,0.61
920,GBC Wire Binding Strips,Office Supplies,Binders and Binder Accessories,Small Box,0.37
921,Xerox 1952,Office Supplies,Paper,Small Box,0.38
922,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Office Furnishings,Large Box,0.59
